Regional,Nivel,Programa,Total,Estrato,Ano,Periodo
Bogotá,CURSOS,INGLÉS EXTENSIÓN SABÁDOS (SEMESTRAL),5,4,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SABÁDOS (SEMESTRAL),1,1,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SABÁDOS (SEMESTRAL),2,1,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SABÁDOS (SEMESTRAL),10,2,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SABÁDOS (SEMESTRAL),13,2,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SABÁDOS (SEMESTRAL),14,3,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SABÁDOS (SEMESTRAL),30,3,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SABÁDOS (SEMESTRAL),2,4,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SABÁDOS (SEMESTRAL),8,4,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SÁBADOS (SEMESTRAL - CAJICA),1,1,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SÁBADOS (SEMESTRAL - CAJICA),2,1,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SÁBADOS (SEMESTRAL - CAJICA),3,2,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SÁBADOS (SEMESTRAL - CAJICA),7,3,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SÁBADOS (SEMESTRAL - CAJICA),1,1,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SÁBADOS (SEMESTRAL - CAJICA),1,2,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SÁBADOS (SEMESTRAL - CAJICA),8,2,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SÁBADOS (SEMESTRAL - CAJICA),1,3,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SÁBADOS (SEMESTRAL - CAJICA),7,3,2022,2
Bogotá,CURSOS,INGLÉS EXTENSIÓN SÁBADOS (SEMESTRAL - CAJICA),2,4,2022,2
Bogotá,CURSOS,INGLÉS SUPERINTENSIVO (SEMANAL 5 - CAJICA),1,2,2022,2
Bogotá,CURSOS,INGLÉS SUPERINTENSIVO (SEMANAL 5 - CAJICA),1,N,2022,2
Bogotá,CURSOS,INGLÉS SUPERINTENSIVO (SEMANAL 5 - CAJICA),1,3,2022,2
Bogotá,CURSOS,INGLÉS SUPERINTENSIVO (SEMANAL 5 - CAJICA),1,4,2022,2
Bogotá,CURSOS,PLAN DE FACILITACIÓN POSMÉDICOS,1,5,2022,2
Bogotá,CURSOS,PLAN DE FACILITACIÓN POSMÉDICOS,1,2,2022,2
Bogotá,CURSOS,PLAN DE FACILITACIÓN POSMÉDICOS,1,5,2022,2
Bogotá,DIPLOMADO,DIP. ALTA GERENCIA MODALIDAD REMOTA,1,2,2022,2
Bogotá,DIPLOMADO,DIP. ALTA GERENCIA MODALIDAD REMOTA,5,2,2022,2
