Regional,Nivel,Programa,Total,Estrato,Ano,Periodo
Bogotá,MAESTRIA,MAESTRIA EN DERECHO ADMINISTRATIVO (BOGOTA),3,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO ADMINISTRATIVO (BOGOTA),3,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO ADMINISTRATIVO (BOGOTA),1,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO ADMINISTRATIVO (BOGOTA),1,5,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO ADMINISTRATIVO (BOGOTA),1,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO ADMINISTRATIVO (BOGOTA),10,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO ADMINISTRATIVO (BOGOTA),1,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO ADMINISTRATIVO (BOGOTA),1,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO ADMINISTRATIVO (BOGOTA),1,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO ADMINISTRATIVO (BOGOTA),1,5,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO ADMINISTRATIVO (BOGOTA),1,5,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO ADMINISTRATIVO (BOGOTA),1,6,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO PROCESAL PENAL (BOGOTA),1,1,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO PROCESAL PENAL (BOGOTA),2,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO PROCESAL PENAL (BOGOTA),1,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO PROCESAL PENAL (BOGOTA),9,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO PROCESAL PENAL (BOGOTA),3,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO PROCESAL PENAL (BOGOTA),3,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO PROCESAL PENAL (BOGOTA),6,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO PROCESAL PENAL (BOGOTA),1,6,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO PROCESAL PENAL (BOGOTA),1,N,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO PROCESAL PENAL (BOGOTA),2,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO PROCESAL PENAL (BOGOTA),2,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO PROCESAL PENAL (BOGOTA),2,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO PROCESAL PENAL (BOGOTA),4,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO PROCESAL PENAL (BOGOTA),2,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN DERECHO PROCESAL PENAL (BOGOTA),1,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (BOGOTA),1,1,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (BOGOTA),1,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (BOGOTA),3,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (BOGOTA),1,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (BOGOTA),1,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (BOGOTA),1,1,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (BOGOTA),2,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (BOGOTA),4,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (BOGOTA),3,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (BOGOTA),2,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (BOGOTA),1,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (CAMPUS NG CAJICÁ),2,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (CAMPUS NG CAJICÁ),3,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (CAMPUS NG CAJICÁ),3,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (CAMPUS NG CAJICÁ),1,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (CAMPUS NG CAJICÁ),1,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (CAMPUS NG CAJICÁ),3,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN EDUCACION (CAMPUS NG CAJICÁ),4,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (BOGOTA),1,1,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (BOGOTA),3,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (BOGOTA),3,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (BOGOTA),1,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (BOGOTA),3,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (BOGOTA),1,5,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (BOGOTA),1,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (BOGOTA),1,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (BOGOTA),3,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (BOGOTA),3,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (BOGOTA),3,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (BOGOTA),1,4,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (CAMPUS NG CAJICÁ),3,2,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (CAMPUS NG CAJICÁ),1,3,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (CAMPUS NG CAJICÁ),1,4,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (CAMPUS NG CAJICÁ),1,2,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (CAMPUS NG CAJICÁ),1,2,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (CAMPUS NG CAJICÁ),3,3,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (CAMPUS NG CAJICÁ),4,3,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRIA EN GERENCIA DE PROYECTOS (CAMPUS NG CAJICÁ),1,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (BOGOTA),2,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (BOGOTA),4,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (BOGOTA),2,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (BOGOTA),2,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (BOGOTA),4,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (BOGOTA),1,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (BOGOTA),2,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (BOGOTA),4,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (BOGOTA),2,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (BOGOTA),2,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (BOGOTA),1,N,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (CAMPUS NG CAJICÁ),1,1,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (CAMPUS NG CAJICÁ),1,2,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (CAMPUS NG CAJICÁ),2,2,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (CAMPUS NG CAJICÁ),6,3,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (CAMPUS NG CAJICÁ),4,4,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (CAMPUS NG CAJICÁ),1,2,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (CAMPUS NG CAJICÁ),1,3,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (CAMPUS NG CAJICÁ),2,3,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRIA EN GESTION DE ORGANIZACIONES (CAMPUS NG CAJICÁ),1,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN INGENIERIA CIVIL (BOGOTA),1,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN INGENIERIA CIVIL (BOGOTA),2,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN INGENIERIA CIVIL (BOGOTA),6,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN INGENIERIA CIVIL (BOGOTA),2,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN INGENIERIA CIVIL (BOGOTA),2,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN INGENIERIA CIVIL (BOGOTA),1,5,2022,1
Bogotá,MAESTRIA,MAESTRIA EN INGENIERIA CIVIL (BOGOTA),1,6,2022,1
Bogotá,MAESTRIA,MAESTRIA EN INGENIERIA CIVIL (BOGOTA),1,1,2022,1
Bogotá,MAESTRIA,MAESTRIA EN INGENIERIA CIVIL (BOGOTA),1,1,2022,1
Bogotá,MAESTRIA,MAESTRIA EN INGENIERIA CIVIL (BOGOTA),4,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN INGENIERIA CIVIL (BOGOTA),4,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN INGENIERIA CIVIL (BOGOTA),1,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN INGENIERIA CIVIL (BOGOTA),11,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN INGENIERIA CIVIL (BOGOTA),5,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN INGENIERIA CIVIL (BOGOTA),2,5,2022,1
Bogotá,MAESTRIA,MAESTRIA EN LOGISTICA INTEGRAL (BOGOTA),1,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN LOGISTICA INTEGRAL (BOGOTA),1,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN LOGISTICA INTEGRAL (BOGOTA),1,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN LOGISTICA INTEGRAL (BOGOTA),2,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN LOGISTICA INTEGRAL (BOGOTA),1,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN RELACIONES Y NEGOCIOS INTERNACIONALES (BOGOTA),1,1,2022,1
Bogotá,MAESTRIA,MAESTRIA EN RELACIONES Y NEGOCIOS INTERNACIONALES (BOGOTA),2,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN RELACIONES Y NEGOCIOS INTERNACIONALES (BOGOTA),2,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN RELACIONES Y NEGOCIOS INTERNACIONALES (BOGOTA),1,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN RELACIONES Y NEGOCIOS INTERNACIONALES (BOGOTA),1,5,2022,1
Bogotá,MAESTRIA,MAESTRIA EN RELACIONES Y NEGOCIOS INTERNACIONALES (BOGOTA),1,1,2022,1
Bogotá,MAESTRIA,MAESTRIA EN RELACIONES Y NEGOCIOS INTERNACIONALES (BOGOTA),1,2,2022,1
Bogotá,MAESTRIA,MAESTRIA EN RELACIONES Y NEGOCIOS INTERNACIONALES (BOGOTA),2,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN RELACIONES Y NEGOCIOS INTERNACIONALES (BOGOTA),1,3,2022,1
Bogotá,MAESTRIA,MAESTRIA EN RELACIONES Y NEGOCIOS INTERNACIONALES (BOGOTA),1,4,2022,1
Bogotá,MAESTRIA,MAESTRIA EN RELACIONES Y NEGOCIOS INTERNACIONALES (BOGOTA),1,4,2022,1
Bogotá,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (BOGOTÁ),3,3,2022,1
Bogotá,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (BOGOTÁ),1,3,2022,1
Bogotá,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (BOGOTÁ),2,4,2022,1
Bogotá,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (BOGOTÁ),2,4,2022,1
Bogotá,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (BOGOTÁ),1,5,2022,1
Bogotá,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (BOGOTÁ),3,2,2022,1
Bogotá,MEDICAS,UROLOGIA,4,4,2020,0
Bogotá,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (BOGOTÁ),4,3,2022,1
Bogotá,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (BOGOTÁ),2,3,2022,1
Bogotá,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (BOGOTÁ),1,4,2022,1
Bogotá,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (BOGOTÁ),1,5,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (CAMPUS NG CAJICÁ),1,2,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (CAMPUS NG CAJICÁ),2,3,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (CAMPUS NG CAJICÁ),6,3,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (CAMPUS NG CAJICÁ),2,4,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (CAMPUS NG CAJICÁ),2,4,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (CAMPUS NG CAJICÁ),1,5,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (CAMPUS NG CAJICÁ),3,2,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (CAMPUS NG CAJICÁ),3,3,2022,1
Campus Nueva Granada,MAESTRIA,MAESTRÍA EN GERENCIA INTEGRAL DE  PROYECTOS (CAMPUS NG CAJICÁ),3,3,2022,1
Bogotá,MAESTRIA,MAESTRÍA EN GERENCIA LOGÍSTICA INTEGRAL (BOGOTÁ),1,2,2022,1
Bogotá,MAESTRIA,MAESTRÍA EN GERENCIA LOGÍSTICA INTEGRAL (BOGOTÁ),2,3,2022,1
Bogotá,MAESTRIA,MAESTRÍA EN GERENCIA LOGÍSTICA INTEGRAL (BOGOTÁ),3,3,2022,1
Bogotá,MAESTRIA,MAESTRÍA EN INGENIERÍA MECATRÓNICA (BOGOTA),1,3,2022,1
Bogotá,MAESTRIA,MAESTRÍA EN INGENIERÍA MECATRÓNICA (BOGOTA),1,2,2022,1
Bogotá,MAESTRIA,MAESTRÍA EN INGENIERÍA MECATRÓNICA (BOGOTA),1,3,2022,1
Bogotá,MAESTRIA,MAESTRÍA EN INGENIERÍA MECATRÓNICA (BOGOTA),1,N,2022,1
Bogotá,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR,2,1,2022,1
Bogotá,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR,3,2,2022,1
Bogotá,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR,3,2,2022,1
Bogotá,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR,3,3,2022,1
Bogotá,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR,2,4,2022,1
Bogotá,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR,3,4,2022,1
Bogotá,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR,1,N,2022,1
Bogotá,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR,2,2,2022,1
Bogotá,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR,2,2,2022,1
Bogotá,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR,8,3,2022,1
Bogotá,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR,6,3,2022,1
Bogotá,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR,2,4,2022,1
Bogotá,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR,1,4,2022,1
Bogotá,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR,1,5,2022,1
Campus Nueva Granada,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR (CAMPUS NG CAJICÁ),1,1,2022,1
Campus Nueva Granada,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR (CAMPUS NG CAJICÁ),1,1,2022,1
Campus Nueva Granada,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR (CAMPUS NG CAJICÁ),1,2,2022,1
Campus Nueva Granada,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR (CAMPUS NG CAJICÁ),1,2,2022,1
Campus Nueva Granada,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR (CAMPUS NG CAJICÁ),3,3,2022,1
Campus Nueva Granada,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR (CAMPUS NG CAJICÁ),1,3,2022,1
Campus Nueva Granada,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR (CAMPUS NG CAJICÁ),2,4,2022,1
Campus Nueva Granada,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR (CAMPUS NG CAJICÁ),2,2,2022,1
Campus Nueva Granada,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR (CAMPUS NG CAJICÁ),1,3,2022,1
Campus Nueva Granada,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR (CAMPUS NG CAJICÁ),2,3,2022,1
Campus Nueva Granada,POSGRADO,ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR (CAMPUS NG CAJICÁ),1,4,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN  ADMINISTRACION DE LA SEGURIDAD (CALI),2,3,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN  ADMINISTRACION DE LA SEGURIDAD (CALI),1,5,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN  ADMINISTRACION DE LA SEGURIDAD (CALI),13,4,2022,1
Bogotá,PREGRADO,DERECHO (BOGOTA),37,4,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN  ADMINISTRACION DE LA SEGURIDAD (CALI),2,5,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN  ADMINISTRACION DE LA SEGURIDAD (CARTAGENA),2,3,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN  ADMINISTRACION DE LA SEGURIDAD (CARTAGENA),1,4,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN  ADMINISTRACION DE LA SEGURIDAD (CARTAGENA),3,3,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN  ADMINISTRACION DE LA SEGURIDAD (CARTAGENA),2,4,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN  ADMINISTRACION DE LA SEGURIDAD (CARTAGENA),3,5,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD (BOGOTA),1,2,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD (BOGOTA),3,3,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD (BOGOTA),1,4,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD (BOGOTA),2,4,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD (BOGOTA),1,5,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD (BOGOTA),1,2,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD (BOGOTA),7,2,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD (BOGOTA),8,3,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD (BOGOTA),17,3,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD (BOGOTA),6,4,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD (BOGOTA),1,5,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD (BOGOTA),1,5,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD (BOGOTA),1,N,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (BOGOTA),2,2,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (BOGOTA),3,2,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (BOGOTA),3,3,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (BOGOTA),15,3,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (BOGOTA),1,4,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (BOGOTA),5,4,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (BOGOTA),1,5,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (BOGOTA),1,1,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (BOGOTA),4,2,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (BOGOTA),10,3,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (BOGOTA),2,4,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (BOGOTA),1,5,2022,1
Bogotá,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (BOGOTA),1,N,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (CAMPUS NG CAJICÁ),4,2,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (CAMPUS NG CAJICÁ),1,2,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (CAMPUS NG CAJICÁ),8,3,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (CAMPUS NG CAJICÁ),3,4,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (CAMPUS NG CAJICÁ),1,2,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (CAMPUS NG CAJICÁ),4,2,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (CAMPUS NG CAJICÁ),1,3,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA (CAMPUS NG CAJICÁ),6,3,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA A DISTANCIA,2,1,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA A DISTANCIA,2,2,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA A DISTANCIA,21,2,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA A DISTANCIA,21,3,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA A DISTANCIA,51,3,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA A DISTANCIA,7,4,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA A DISTANCIA,17,4,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA A DISTANCIA,1,5,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA A DISTANCIA,1,5,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA A DISTANCIA,2,N,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA A DISTANCIA,1,N,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA A DISTANCIA,1,0,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA A DISTANCIA,1,1,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA A DISTANCIA,4,1,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA A DISTANCIA,10,2,2022,1
Campus Nueva Granada,POSGRADO,ESPECIALIZACION EN ALTA GERENCIA A DISTANCIA,12,2,2022,1
