Edad,Sexo,Marihuana,Cocaina,LSD,extasis,Popper,2cb,Tabaco,Bebidas alcoholicas
26,Mujer,Si,No,No,No,Si,No,Si,Si
24,Mujer,Si,No,No,No,Si,No,No,No
24,Hombre,Si,No,No,No,No,No,Si,Si
23,Hombre,Si,Si,Si,No,Si,No,Si,Si
25,Mujer,No,No,No,No,No,No,No,Si
25,Hombre,Si,Si,No,No,No,No,No,Si
23,Hombre,Si,No,Si,No,No,No,Si,No
27,Hombre,Si,No,No,No,No,No,No,No
23,Mujer,Si,No,No,No,No,No,No,No
20,Mujer,Si,No,No,No,No,No,No,Si
23,Mujer,Si,No,No,No,No,No,No,No
22,Mujer,Si,No,No,No,Si,No,Si,Si
27,Mujer,Si,No,No,No,No,No,Si,Si
19,Mujer,Si,Si,No,No,No,No,No,Si
23,Mujer,No,No,No,No,No,No,No,Si
20,Mujer,Si,No,No,No,No,No,No,Si
19,Mujer,Si,No,No,No,Si,No,No,No
23,Hombre,Si,Si,No,No,Si,No,No,Si
23,Hombre,Si,Si,No,No,No,No,Si,Si
25,Mujer,Si,Si,Si,No,No,No,Si,Si
23,Mujer,Si,No,No,No,Si,No,Si,No
23,Mujer,Si,No,No,No,Si,No,No,Si
23,Mujer,Si,No,No,No,No,No,No,No
23,Mujer,Si,Si,Si,No,Si,Si,No,Si
17,Hombre,No,No,No,No,No,No,No,Si
17,Mujer,No,No,No,No,No,No,No,Si
20,Mujer,Si,No,No,No,No,No,No,No
27,Mujer,Si,Si,Si,No,Si,No,Si,Si
18,Mujer,No,No,No,No,No,No,No,Si
23,Hombre,Si,No,No,No,Si,No,No,Si
17,Mujer,No,No,No,No,No,No,No,Si
28,Hombre,Si,No,No,No,No,No,No,No
20,Hombre,No,No,No,No,No,No,No,Si
26,Hombre,Si,No,No,No,No,No,No,No
27,Mujer,Si,Si,No,Si,Si,No,Si,Si
19,Mujer,Si,No,No,No,No,No,Si,Si
19,Hombre,Si,No,No,No,No,No,No,Si
